id,workclass,education,marital-status,occupation,social-security-number,house-number,fnlwgt,education-num,age-group,capitalgain,capitalloss,hoursperweek,label
8616,4.0,9.0,2.0,3.0,1.0743958268619918,1.2854410922590138,0.7835349803282009,0.9753340532903672,0.07168925296811295,-0.3268579961061566,-0.23468146916765179,1.0924392531576002,1.0
21982,1.0,10.0,2.0,9.0,-1.534569781760217,-1.103815345577099,-0.4143401797210075,2.1261632175761473,0.8711411626023777,-0.3268579961061566,2.8773632401060234,-0.048354943435254816,1.0
11191,3.0,11.0,4.0,7.0,-0.9521280296073791,1.5419070509270025,0.4998098749468606,-0.5591048324240065,-1.5272145663004166,-0.3268579961061566,-0.23468146916765179,-1.1891491400281098,0.0
22229,3.0,11.0,0.0,6.0,-0.69814227639603,1.2082217777281887,-0.6833234273138729,-0.5591048324240065,0.07168925296811295,-0.3268579961061566,-0.23468146916765179,-0.048354943435254816,0.0
20732,3.0,9.0,2.0,11.0,-0.5029674684335154,-1.3180028560178034,-0.2777142291731903,0.9753340532903672,0.8711411626023777,-0.3268579961061566,-0.23468146916765179,1.0924392531576002,1.0
4217,3.0,0.0,2.0,5.0,-0.9322365589630038,-0.14049566158848198,0.5554862807244763,-1.7099339967097869,0.8711411626023777,0.7381980964033225,-0.23468146916765179,-0.048354943435254816,0.0
11509,3.0,11.0,0.0,6.0,-0.9434860356120297,-0.5465085280356249,-0.034497774379353606,-0.5591048324240065,0.07168925296811295,-0.3268579961061566,-0.23468146916765179,-0.048354943435254816,1.0
23787,3.0,15.0,2.0,2.0,1.5073809132952116,-0.16250840735971261,0.31952944073126743,-0.17549511099541318,0.07168925296811295,0.7381980964033225,-0.23468146916765179,-0.048354943435254816,0.0
20848,3.0,9.0,2.0,11.0,0.2969644512070262,-0.8945195564188901,0.28868091757179926,0.9753340532903672,-0.7277626566661518,-0.3268579961061566,-0.23468146916765179,-0.048354943435254816,0.0
14739,3.0,11.0,6.0,11.0,-1.2933265421823434,0.14741707675269333,0.6870014624526514,-0.5591048324240065,0.8711411626023777,-0.3268579961061566,-0.23468146916765179,-1.1891491400281098,0.0
6870,6.0,15.0,0.0,0.0,0.7328258925923845,-1.3001830142029975,0.37556398750571407,-0.17549511099541318,-0.7277626566661518,-0.3268579961061566,-0.23468146916765179,-0.048354943435254816,0.0
